rank;name;revenues;revenues-percent-change;profits;profits-percent-change;assets;market-value;employees
1;Walmart;559151.0;6.7;13510.0;-9.2;252496.0;382642.8;2300000
2;Amazon;386064.0;37.6;21331.0;84.1;321195.0;1558069.6;1298000
3;Apple;274515.0;5.5;57411.0;3.9;323888.0;2050665.9;147000
4;CVS Health;268706.0;4.6;7179.0;8.2;230715.0;98653.2;256500
5;UnitedHealth Group;257141.0;6.2;15403.0;11.3;197289.0;351725.0;330000
6;Berkshire Hathaway;245510.0;-3.6;42521.0;-47.8;873729.0;587823.0;360000
7;McKesson;231051.0;7.8;900.0;2547.1;61247.0;31044.0;70000
8;AmerisourceBergen;189893.9;5.7;-3408.7;-498.5;44274.8;24169.7;21500
9;Alphabet;182527.0;12.8;40269.0;17.3;319616.0;1392561.8;135301
10;Exxon Mobil;181502.0;-31.5;-22440.0;-256.5;332750.0;236355.4;72000
11;AT&T;171760.0;-5.2;-5176.0;-137.2;525761.0;215878.5;230760
12;Costco Wholesale;166761.0;9.2;4002.0;9.4;55556.0;155984.3;214500
13;Cigna;160401.0;4.5;8458.0;65.7;155451.0;83976.1;72963
14;Cardinal Health;152922.0;5.1;-3696.0;-371.2;40766.0;17840.3;48000
15;Microsoft;143015.0;13.6;44281.0;12.8;301311.0;1778228.2;163000
16;Walgreens Boots Alliance;139537.0;2.0;456.0;-88.5;87174.0;47455.3;277000
17;Kroger;132498.0;8.4;2585.0;55.8;48662.0;27064.3;465000
18;Home Depot;132110.0;19.9;12866.0;14.4;70581.0;328775.4;504800
19;JPMorgan Chase;129503.0;-9.1;29131.0;-20.0;3386071.0;464530.8;255351
20;Verizon Communications;128292.0;-2.7;17801.0;-7.6;316481.0;240633.3;132200
21;Ford Motor;127144.0;-18.4;-1279.0;-2821.3;267261.0;48739.0;186000
22;General Motors;122485.0;-10.7;6427.0;-4.5;235194.0;82794.9;155000
23;Anthem;121867.0;16.9;4572.0;-4.9;86615.0;87908.9;83400
24;Centene;111115.0;48.9;1808.0;36.9;68719.0;37169.6;71300
25;Fannie Mae;106437.0;-11.5;11805.0;-16.6;3985749.0;2397.2;7700
26;Comcast;103564.0;-4.9;10534.0;-19.3;273869.0;247859.3;168000
27;Chevron;94692.0;-35.4;-5543.0;-289.6;239790.0;201865.0;47736
28;Dell Technologies;94224.0;2.2;3250.0;-29.6;123415.0;67229.1;158000
29;Bank of America;93753.0;-17.5;17894.0;-34.8;2819627.0;333788.4;212505
30;Target;93561.0;19.8;4368.0;33.1;51248.0;98760.9;409000
31;Lowe's;89597.0;24.2;5835.0;36.3;46735.0;136407.9;280000
32;Marathon Petroleum;88952.0;-28.7;-9826.0;-472.6;85158.0;34873.8;57900
33;Citigroup;88839.0;-14.1;11047.0;-43.1;2260090.0;151806.4;210153
34;Facebook;85965.0;21.6;29146.0;57.7;159316.0;838724.2;58604
35;UPS;84628.0;14.2;1343.0;-69.8;62408.0;147791.6;408255
36;Johnson & Johnson;82584.0;0.6;14714.0;-2.7;174894.0;432685.3;134500
37;Wells Fargo;80303.0;-22.7;3301.0;-83.1;1955163.0;161521.0;268531
38;General Electric;79619.0;-16.4;5704.0;;253452.0;115342.5;184000
39;State Farm Insurance;78898.0;-0.6;3738.9;-33.1;299104.5;;57582
40;Intel;77867.0;8.2;20899.0;-0.7;153091.0;260630.1;110600
41;Humana;77155.0;18.9;3367.0;24.4;34969.0;54087.7;48700
42;IBM;73620.0;-4.6;5590.0;-40.7;155971.0;119080.3;364800
43;Procter & Gamble;70950.0;4.8;13027.0;234.3;120700.0;333493.1;99000
44;PepsiCo;70372.0;4.8;7120.0;-2.7;92918.0;195207.7;291000
45;FedEx;69217.0;-0.7;1286.0;138.1;73537.0;75367.8;418000
46;MetLife;67842.0;-2.6;5407.0;-8.3;795146.0;53762.6;46500
47;Freddie Mac;66228.0;-11.8;7326.0;1.6;2627415.0;1332.6;6922
48;Phillips 66;65494.0;-40.2;-3975.0;-229.2;54721.0;35703.6;14300
49;Lockheed Martin;65398.0;9.3;6833.0;9.7;50710.0;102984.2;114000
50;Walt Disney;65388.0;-6.0;-2864.0;-125.9;201549.0;334952.5;203000
51;Archer Daniels Midland;64355.0;-0.5;1772.0;28.5;49719.0;31834.5;38332
52;Albertsons;62455.1;3.2;466.4;255.8;24735.1;8877.7;270000
53;Valero Energy;60115.0;-41.5;-1421.0;-158.7;51774.0;29267.2;9964
54;Boeing;58158.0;-24.0;-11873.0;;152136.0;148664.8;141000
55;Prudential Financial;57033.0;-12.0;-374.0;-108.9;940722.0;36022.4;41671
56;HP;56639.0;-3.6;2844.0;-9.8;34681.0;39579.5;53000
57;Raytheon Technologies;56587.0;-26.6;-3519.0;-163.6;162153.0;117143.9;181000
58;StoneX Group;54139.6;64.6;169.6;99.3;13474.9;1284.4;2950
59;Goldman Sachs Group;53498.0;-0.8;9459.0;11.7;1163028.0;116903.0;40500
60;Sysco;52893.3;-12.0;215.5;-87.1;22628.3;40189.8;57000
61;Morgan Stanley;52047.0;-3.3;10996.0;21.6;1115862.0;146161.9;68097
62;HCA Healthcare;51533.0;0.4;3754.0;7.1;47490.0;63458.7;235000
63;Cisco Systems;49301.0;-5.0;11214.0;-3.5;94853.0;218308.5;77500
64;Charter Communications;48097.0;5.1;3222.0;93.2;144206.0;128965.7;96100
65;Merck;47994.0;2.5;7067.0;-28.2;91588.0;195062.0;73500
66;Best Buy;47262.0;8.3;1798.0;16.7;19067.0;28707.7;81600
67;New York Life Insurance;46712.4;5.9;-822.3;-181.9;359312.5;;11506
68;AbbVie;45804.0;37.7;4616.0;-41.4;150565.0;190989.4;47000
69;Publix Super Markets;45204.0;17.5;3971.8;32.2;28094.1;;227000
70;Allstate;44791.0;0.3;5576.0;15.0;125987.0;34800.2;42010
71;Liberty Mutual Insurance Group;43796.0;1.3;758.0;-27.4;145377.0;;45000
72;AIG;43736.0;-12.1;-5944.0;-277.5;586481.0;39848.9;45000
73;Tyson Foods;43185.0;1.8;2061.0;4.1;34456.0;27099.6;139000
74;Progressive;42658.1;9.3;5704.6;43.7;64098.3;55946.5;43326
75;Bristol-Myers Squibb;42518.0;62.6;-9015.0;-362.1;118481.0;141027.9;30250
76;Nationwide;41929.8;-4.7;-138.4;-116.7;256589.3;;25391
77;Pfizer;41908.0;-19.0;9616.0;-40.9;154229.0;202096.9;78500
78;Caterpillar;41748.0;-22.4;2998.0;-50.8;78324.0;126439.6;97300
79;TIAA;41619.3;2.9;558.1;-77.3;654252.0;;14953
80;Oracle;39068.0;-1.1;10135.0;-8.6;115438.0;202337.7;135000
81;Energy Transfer;38954.0;-28.1;-648.0;-118.0;95144.0;20754.7;11421
82;Dow;38542.0;-10.3;1225.0;;61470.0;47649.7;35700
83;American Express;38185.0;-18.8;3135.0;-53.6;191367.0;113635.8;63700
84;General Dynamics;37925.0;-3.6;3167.0;-9.1;51308.0;51481.9;100700
85;Nike;37403.0;-4.4;2539.0;-37.0;31342.0;209499.8;75400
86;Northrop Grumman;36799.0;8.7;3189.0;41.9;44469.0;53956.7;97000
87;USAA;36296.2;1.9;3906.9;-2.5;200348.4;;35935
88;Deere;35540.0;-9.5;2751.0;-15.4;75091.0;117270.0;69634
89;Abbott Laboratories;34608.0;8.5;4495.0;21.9;72548.0;212300.1;109000
90;Northwestern Mutual;33782.1;4.6;425.0;-66.5;308767.0;;6641
91;Dollar General;33746.8;21.6;2655.1;55.0;25862.6;48479.7;158000
92;Exelon;33039.0;-4.1;1963.0;-33.1;129317.0;42723.5;32340
93;Coca-Cola;33014.0;-11.4;7747.0;-13.2;87296.0;227143.8;80300
94;Honeywell International;32637.0;-11.1;4779.0;-22.2;64586.0;150972.4;103000
95;Thermo Fisher Scientific;32218.0;26.1;6375.0;72.5;69052.0;179719.4;84362
96;3M;32184.0;0.1;5384.0;17.8;47344.0;111642.1;94987
97;TJX;32137.0;-23.0;90.5;-97.2;30813.6;79774.9;320000
98;Travelers;31981.0;1.3;2697.0;2.9;116764.0;37933.0;30294
99;Capital One Financial;31643.0;-6.3;2714.0;-51.1;421602.0;58097.0;51985
100;Tesla;31536.0;28.3;721.0;;52148.0;641115.0;70757
